,dailySwapVolumeSnapshots_volumeUSD,dailySwapVolumeSnapshots_datetime
725,160.33503983847763,2022-03-06
726,2613882.78736484,2022-03-06
727,296797.8318508365,2022-03-06
728,136953.748015,2022-03-06
729,6304216.175580867,2022-03-06
730,700434.7062353184,2022-03-06
731,0.48840656488695894,2022-03-06
732,20369.030599239442,2022-03-05
733,17.794658436534547,2022-03-05
734,393955.75373415026,2022-03-05
735,29711.314759237517,2022-03-05
736,110276.061468,2022-03-05
737,2624207.5524383076,2022-03-05
738,1.8263098905521618,2022-03-05
739,732840.3958377793,2022-03-05
740,0.0,2022-03-05
741,31181.692345456908,2022-03-04
742,1056.7775471026619,2022-03-04
743,26712300.854967043,2022-03-04
744,3.0452668228048645,2022-03-04
745,133996.90037842147,2022-03-04
746,177419.26953241872,2022-03-04
747,220348.296376,2022-03-04
748,7025840.594472848,2022-03-04
749,3040.521057616938,2022-03-04
750,30931023212.973602,2022-03-04
751,207480.95828908894,2022-03-04
752,0.6106787571145204,2022-03-04
753,60.40700850139425,2022-03-04
754,33905.4541789747,2022-03-03
755,402.1916041295052,2022-03-03
756,538492.5534527957,2022-03-03
757,74556.54882225126,2022-03-03
758,189596.84773,2022-03-03
759,10891507.307569163,2022-03-03
760,603458.9156917637,2022-03-03
761,26103.72150331579,2022-03-02
762,53584.22859086686,2022-03-02
763,13509.86184763483,2022-03-02
764,71651.72024113972,2022-03-02
765,214937.985733,2022-03-02
766,20232252.56923809,2022-03-02
767,373165.35168426024,2022-03-02
768,1.5591930084707322,2022-03-02
769,7802.770706497593,2022-03-01
770,1982.0399209913678,2022-03-01
771,16026.805720471615,2022-03-01
772,122666.43447559334,2022-03-01
773,102235.284828,2022-03-01
774,9086795.46875723,2022-03-01
775,570090.6959780473,2022-03-01
776,163.71863195807558,2022-03-01
777,9847.851494965365,2022-02-28
778,1847.4948838905675,2022-02-28
779,255807.26186150723,2022-02-28
780,272415.67132026725,2022-02-28
781,156119.0472885,2022-02-28
782,13743644.800749855,2022-02-28
783,779833.4912566092,2022-02-28
784,0.0,2022-02-28
785,2404775393.6554456,2022-02-28
786,9652.556909999816,2022-02-27
787,554.5256458312386,2022-02-27
788,98163.08162194745,2022-02-27
789,292091.1940465769,2022-02-27
790,81249.9028365,2022-02-27
791,14622496.81601425,2022-02-27
792,83734649.80582018,2022-02-27
793,117635.93519500359,2022-02-27
794,1215464218.1445851,2022-02-27
795,10141.4875216663,2022-02-26
796,2167.648550474556,2022-02-26
797,377282.48188516236,2022-02-26
798,75181.44516496072,2022-02-26
799,94603.765367,2022-02-26
800,4971653.453682603,2022-02-26
801,49672199.736842886,2022-02-26
802,2269368.855949803,2022-02-26
803,9151479237.454765,2022-02-26
804,17884.293922019744,2022-02-25
805,1078.6232316922167,2022-02-25
806,152430.66679511897,2022-02-25
807,422674.7577776606,2022-02-25
808,105887.8842955,2022-02-25
809,8169779.313362263,2022-02-25
810,2485295.5098755676,2022-02-25
811,501795.4832478588,2022-02-25
812,218468606.46105734,2022-02-25
813,24363.099550201972,2022-02-25
814,22481.598027417644,2022-02-24
815,1748779.2930366134,2022-02-24
816,296343.66796051495,2022-02-24
817,408156.563546,2022-02-24
818,19529702.033583254,2022-02-24
819,571024.3118318806,2022-02-24
820,263980.3045846442,2022-02-24
821,1705132.332705912,2022-02-24
